"x","y","treecover","SR_B1","SR_B2","SR_B3","SR_B4","SR_B5","SR_B7","NDVI","kNDVI","SAVI","NDWI","EVI","Greenness","Brightness"
-99.2590180214595,19.1827527079464,0,0.0338874980807304,0.0595312491059303,0.0614974983036518,0.281318753957748,0.165392488241196,0.0879387557506561,0.641221821308136,1,0.391226291656494,-0.650689482688904,0.393621116876602,0.151391580700874,0.308928698301315
-99.1681983462351,19.3455274374289,0,0.112729996442795,0.153044998645782,0.175292506814003,0.241650000214577,0.220502495765686,0.187969997525215,0.159152626991272,0.987462759017944,0.108552321791649,-0.224489793181419,0.114573031663895,0.0112449163571,0.43148934841156
-99.417211342993,19.1797882675088,0,0.0943050011992455,0.123400002717972,0.13654500246048,0.203177496790886,0.208237498998642,0.186814993619919,0.196138009428978,0.999089360237122,0.11902591586113,-0.244283497333527,0.126662328839302,0.0108265960589051,0.374767750501633
-99.384063509009,19.0229424189016,0,0.0501400008797646,0.0758524984121323,0.0857525020837784,0.29143875837326,0.219209998846054,0.146513745188713,0.545310258865356,1,0.351724177598953,-0.586962699890137,0.359615564346313,0.132981762290001,0.372476607561111
-99.1301996097168,19.2905505420408,0,0.113307498395443,0.140395000576973,0.162229999899864,0.21483750641346,0.213132500648499,0.184945002198219,0.139517471194267,0.96004718542099,0.0899717062711716,-0.209559947252274,0.0982648357748985,-0.00176340714097023,0.404979258775711
-99.0725277684763,18.9927590253551,12,0.0388099998235703,0.0523675009608269,0.0523950010538101,0.170727506279945,0.118395000696182,0.0621025003492832,0.53034770488739,1,0.245461538434029,-0.530536353588104,0.247760206460953,0.0736539661884308,0.216035529971123
-98.8612440136514,19.3668175096625,0,0.0773650035262108,0.108604997396469,0.133025005459785,0.212500005960464,0.221767500042915,0.215222492814064,0.23001229763031,0.999949216842651,0.140992283821106,-0.323554635047913,0.138902232050896,0.0274157207459211,0.378906726837158
-99.2571315593629,19.1097196753475,0,0.0636975020170212,0.104699999094009,0.135554999113083,0.20999750494957,0.279325008392334,0.193387493491173,0.215430378913879,0.999813854694366,0.132060110569,-0.334599107503891,0.120410658419132,0.0420282706618309,0.395887166261673
-99.1962257830996,19.3420240078208,0,0.112922497093678,0.141550004482269,0.16839000582695,0.20889750123024,0.214314997196198,0.178564995527267,0.107365056872368,0.818655014038086,0.0692603513598442,-0.192175701260567,0.073793888092041,-0.00664434861391783,0.40308490395546
-99.0860024977381,19.2172480148566,0,0.0479125007987022,0.0823149979114532,0.0759624987840652,0.262935012578964,0.224655002355576,0.128350004553795,0.551708161830902,1,0.334318280220032,-0.523157179355621,0.343859702348709,0.118488788604736,0.353715777397156
-99.2110479852876,18.9747028881443,13,0.043003749102354,0.071466252207756,0.0774337500333786,0.252361238002777,0.189606249332428,0.107216253876686,0.530412793159485,1,0.316212117671967,-0.558615267276764,0.313616991043091,0.116581238806248,0.321149855852127
-99.2134734365547,19.3735548742934,0,0.0883925035595894,0.102279998362064,0.120815001428127,0.179582506418228,0.163522496819496,0.148644998669624,0.195632457733154,0.99905252456665,0.110134348273277,-0.274256080389023,0.118336983025074,0.00968794245272875,0.318274408578873
-98.8574710894581,19.0660615525393,0,0.0596824996173382,0.0933700054883957,0.110172495245934,0.244207501411438,0.213008761405945,0.166451245546341,0.378223955631256,1,0.235319778323174,-0.446823298931122,0.229886159300804,0.0782548785209656,0.363495856523514
-99.411551956703,19.0463884478171,0,0.0498374998569489,0.0866324976086617,0.0799224972724915,0.277867496013641,0.255344986915588,0.160442501306534,0.553243517875671,1,0.346142411231995,-0.5246502161026,0.357657492160797,0.122880153357983,0.386952608823776
-99.1288521367906,19.3110321305187,0,0.103352501988411,0.12559999525547,0.150240004062653,0.188107505440712,0.199080005288124,0.182167500257492,0.111918963491917,0.8490070104599,0.067753829061985,-0.199254110455513,0.0720241069793701,-0.00937553588300943,0.369896352291107
