treecover,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,NDVI,SAVI,EVI,Brightness,Greenness
1,0.0431825,0.065265,0.079592504,0.231474996,0.229275003,0.141715005,0.488262177,0.280893683,0.274124205,0.335080057,0.099373758
0,0.080940001,0.106679998,0.113334998,0.193662494,0.178399995,0.164017498,0.261655211,0.149308071,0.158546641,0.331985235,0.023478823
5,0.038053751,0.059118748,0.053357497,0.252663761,0.189647496,0.103063747,0.65128243,0.370907575,0.38703084,0.307457775,0.13010563
0,0.024675,0.0531925,0.039387502,0.308640003,0.1732025,0.071314998,0.773652911,0.476256669,0.494984925,0.312204927,0.187676996
0,0.098099999,0.120154999,0.137315005,0.187914997,0.192947507,0.173532501,0.155582175,0.091974348,0.099133641,0.357126236,-0.000613642
0,0.073212504,0.113885,0.161707491,0.245692506,0.252897501,0.196288764,0.206148788,0.138833508,0.12596415,0.4179537,0.050282888
0,0.026489999,0.04772,0.043856248,0.205693752,0.156565011,0.088062495,0.64851737,0.323869318,0.318538576,0.250063896,0.107774153
0,0.084074996,0.105635002,0.115672499,0.185660005,0.201885,0.1600025,0.232260063,0.131008357,0.140072212,0.340607911,0.018262612
16,0.039332502,0.055997498,0.05311,0.154475003,0.128735006,0.074615002,0.488306016,0.214882314,0.215095192,0.216023207,0.059127018
3,0.044997498,0.0674375,0.0697475,0.239147499,0.156564996,0.107450001,0.548406422,0.314132243,0.320796579,0.29450807,0.106279232
0,0.075824998,0.101125002,0.114132501,0.199107498,0.186237499,0.150020003,0.271277606,0.156734169,0.161523014,0.332666218,0.034506567
0,0.099804997,0.125737503,0.147984996,0.194515005,0.204524994,0.183239996,0.135854036,0.082842745,0.087207519,0.374112874,-0.001933088
0,0.063312501,0.103105001,0.105965003,0.255592495,0.26868251,0.178234994,0.413841486,0.260506392,0.264072359,0.403505951,0.085911103
0,0.100822501,0.121557496,0.145620003,0.190280005,0.198860005,0.179609999,0.132956237,0.080141164,0.085370347,0.366789281,-0.00368469
0,0.047142498,0.063271254,0.068963751,0.194734991,0.147723749,0.099158749,0.476950467,0.247030467,0.250550538,0.263281614,0.074932687
0,0.05320625,0.08061,0.096986249,0.225067496,0.238363743,0.166011244,0.397701472,0.233709618,0.227426976,0.354969352,0.07698378
0,0.036830001,0.064302497,0.078052498,0.245829999,0.209282503,0.123592503,0.518019676,0.305463761,0.291701734,0.325811416,0.115479954
