"point_id","cell_id","x","y","cover_class","canopy_cover","blue","green","red","nir","swir1","swir2","ndvi","savi","evi","Brightness","Greenness","spatial_fold"
1416,3685889,-99.3460796594683,18.9588093240499,2,24.0203437805176,0.0289099998772144,0.0515424981713295,0.0477200001478195,0.226140007376671,0.171855002641678,0.0933424979448318,0.651500761508942,0.345837771892548,0.34427136182785,0.119570650160313,0.273625999689102,5
1417,2515097,-99.0965276735399,19.0959820679349,2,37.6328620910645,0.0346162505447865,0.049177497625351,0.0452862493693829,0.179321259260178,0.149758756160736,0.0938512533903122,0.596752107143402,0.277464032173157,0.281251281499863,0.0818792581558228,0.237650007009506,3
1418,2747732,-99.0606848937035,19.0687631148261,2,31.2665882110596,0.0249499995261431,0.0435400009155273,0.0367200002074242,0.200702503323555,0.121584996581078,0.0614974983036518,0.690678000450134,0.333558797836304,0.332244992256165,0.10988974571228,0.22048519551754,2
1419,3815652,-99.1167397674326,18.9437176272767,2,27.9350166320801,0.0416837483644485,0.0581424981355667,0.0601362511515617,0.170108750462532,0.17560875415802,0.11268875002861,0.477632522583008,0.225895076990128,0.225668281316757,0.0637331381440163,0.259517192840576,3
1420,1593532,-99.3026910312453,19.2037799020293,2,35.0194549560547,0.0365137532353401,0.0545400008559227,0.0550212487578392,0.200812503695488,0.13611875474453,0.0785062462091446,0.569867134094238,0.289332002401352,0.289938718080521,0.0939519330859184,0.245216503739357,3
1421,1638396,-98.9992401282697,19.1986595049098,2,22.4638023376465,0.0427974984049797,0.0631750002503395,0.0589950010180473,0.170204997062683,0.146005004644394,0.0973849967122078,0.485209405422211,0.22876438498497,0.231072500348091,0.062564991414547,0.243262469768524,2
1422,2880523,-99.2560684679995,19.0531324288824,2,28.6363124847412,0.0369262509047985,0.0564649999141693,0.0633812472224236,0.276712477207184,0.200111240148544,0.114998750388622,0.627271890640259,0.380906134843826,0.38645476102829,0.144659101963043,0.330198407173157,1
1423,99389,-99.3417677461045,19.3786818878473,2,38.9101791381836,0.0363074988126755,0.0585962496697903,0.0553100034594536,0.261601269245148,0.150088757276535,0.0794962495565414,0.650943279266357,0.378788858652115,0.390361577272415,0.138018697500229,0.287573784589767,3
1424,3704694,-99.2412462658115,18.956653367368,2,23.4670486450195,0.0394974984228611,0.0553374998271465,0.0494799986481667,0.275337487459183,0.134949997067451,0.0670249983668327,0.695336580276489,0.410740852355957,0.442515522241592,0.149660810828209,0.284060835838318,5
1425,3837284,-98.870421716527,18.9412921760096,2,22.2347717285156,0.0294874999672174,0.0540724992752075,0.0409274995326996,0.187172502279282,0.14606000483036,0.0689224973320961,0.641144216060638,0.301287591457367,0.301764756441116,0.0945798233151436,0.233121857047081,4
1426,864566,-99.0957191897842,19.289209685549,2,38.5201034545898,0.0402399972081184,0.0616212487220764,0.0434437468647957,0.0529312491416931,0.0164937488734722,0.0103337503969669,0.0984436050057411,0.0238629281520844,0.0234422832727432,-0.0113885123282671,0.0893599167466164,4
